City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
georgetown,5.41,100.34,84.2,88.0,20.0,3.36,MY,1594778146.0
vangaindrano,-23.35,47.6,65.01,91.0,1.0,4.16,MG,1594778777.0
vanimo,-2.67,141.3,85.84,65.0,16.0,9.08,PG,1594778395.0
faanui,-16.48,-151.75,78.76,79.0,0.0,5.01,PF,1594778385.0
sampit,-2.53,112.95,81.09,86.0,47.0,1.12,ID,1594778777.0
mahebourg,-20.41,57.7,71.6,83.0,40.0,12.75,MU,1594778426.0
cape town,-33.93,18.42,46.4,75.0,0.0,10.29,ZA,1594778374.0
east london,-33.02,27.91,52.81,66.0,50.0,16.49,ZA,1594778380.0
punta arenas,-53.15,-70.92,32.0,89.0,96.0,4.7,CL,1594778094.0
mount gambier,-37.83,140.77,46.4,93.0,40.0,8.05,AU,1594778417.0
codrington,-38.27,141.97,52.7,77.0,2.0,8.52,AU,1594778390.0
margate,51.38,1.39,62.01,86.0,98.0,1.99,GB,1594778396.0
leningradskiy,69.38,178.42,43.84,76.0,100.0,15.97,RU,1594778389.0
teocaltiche,21.43,-102.58,71.6,40.0,75.0,9.17,MX,1594778778.0
nivala,63.92,24.97,46.99,96.0,6.0,1.63,FI,1594778778.0
hithadhoo,-0.6,73.08,83.44,70.0,47.0,0.74,MV,1594778379.0
opuwo,-18.06,13.84,54.3,31.0,0.0,15.55,NA,1594778378.0
port lincoln,-34.73,135.87,58.78,52.0,0.0,17.22,AU,1594778399.0
manjacaze,-24.71,33.88,64.98,61.0,98.0,15.14,MZ,1594778778.0
saskylakh,71.92,114.08,72.54,55.0,86.0,11.27,RU,1594778345.0
meulaboh,4.14,96.13,83.1,73.0,39.0,2.39,ID,1594778375.0
butaritari,3.07,172.79,78.64,79.0,100.0,6.62,KI,1594778379.0
pucallpa,-8.38,-74.55,77.38,76.0,99.0,1.23,PE,1594778779.0
bluff,-46.6,168.33,47.82,75.0,0.0,11.07,NZ,1594778374.0
thabazimbi,-24.59,27.41,33.01,62.0,0.0,5.77,ZA,1594778779.0
muros,42.78,-9.06,64.99,78.0,52.0,5.99,ES,1594778779.0
mezen,65.85,44.24,46.87,95.0,100.0,8.97,RU,1594778779.0
northam,51.03,-4.22,59.0,93.0,100.0,4.0,GB,1594778337.0
port hardy,50.7,-127.42,62.6,72.0,75.0,8.05,CA,1594778779.0
daru,-9.08,143.21,78.57,88.0,59.0,17.63,PG,1594778780.0
hovd,48.01,91.64,58.73,65.0,97.0,2.13,MN,1594778780.0
clyde river,70.47,-68.59,53.6,71.0,75.0,14.99,CA,1594778399.0
lethbridge,49.7,-112.82,73.4,31.0,20.0,14.99,CA,1594778540.0
new norfolk,-42.78,147.06,48.99,91.0,100.0,0.36,AU,1594778375.0
barrow,71.29,-156.79,39.2,80.0,75.0,12.75,US,1594778377.0
tuktoyaktuk,69.45,-133.04,57.2,71.0,90.0,11.41,CA,1594778385.0
victor harbor,-35.57,138.62,52.0,93.0,100.0,6.73,AU,1594778780.0
cayenne,4.93,-52.33,77.0,94.0,29.0,2.24,GF,1594778399.0
ibarra,0.35,-78.12,54.05,71.0,12.0,6.42,EC,1594778780.0
katsuura,35.13,140.3,73.99,83.0,100.0,3.0,JP,1594778432.0
vila franca do campo,37.72,-25.43,66.2,88.0,20.0,4.7,PT,1594778340.0
oktyabrskiy,54.48,53.47,71.92,70.0,0.0,5.3,RU,1594778781.0
thompson,55.74,-97.86,60.8,87.0,90.0,6.93,CA,1594778404.0
mayo,38.89,-76.51,78.8,74.0,1.0,1.95,US,1594778781.0
jizan,17.33,42.67,93.2,52.0,0.0,3.36,SA,1594778781.0
puerto ayora,-0.74,-90.35,66.99,96.0,85.0,1.01,EC,1594778376.0
sola,-13.88,167.55,79.43,77.0,100.0,12.01,VU,1594778342.0
kostek,43.34,46.85,74.55,53.0,0.0,10.63,RU,1594778781.0
sao joao da barra,-21.64,-41.05,71.01,85.0,99.0,14.36,BR,1594778391.0
christchurch,-43.53,172.63,48.0,93.0,100.0,9.17,NZ,1594778781.0
sur,22.57,59.53,85.8,62.0,0.0,5.77,OM,1594778438.0
braganca,-1.05,-46.77,72.46,98.0,44.0,1.92,BR,1594778782.0
raymondville,26.48,-97.78,87.8,55.0,1.0,14.99,US,1594778782.0
pichayevo,53.24,42.2,62.17,93.0,51.0,11.79,RU,1594778782.0
guerrero negro,27.98,-114.06,70.92,75.0,0.0,18.34,MX,1594778782.0
marawi,8.0,124.29,84.0,76.0,8.0,4.0,PH,1594778782.0
tomatlan,19.93,-105.25,81.36,82.0,5.0,3.09,MX,1594778782.0
shingu,33.73,135.98,78.8,69.0,75.0,11.41,JP,1594778385.0
hilo,19.73,-155.09,80.6,69.0,90.0,9.17,US,1594778088.0
minas,-34.38,-55.24,41.0,74.0,0.0,4.7,UY,1594778782.0
kahului,20.89,-156.47,89.6,46.0,40.0,23.04,US,1594778418.0
owando,-0.48,15.9,70.9,93.0,100.0,3.47,CG,1594778783.0
mananjary,-21.22,48.33,64.29,92.0,8.0,4.97,MG,1594778783.0
amli,20.28,73.02,80.35,86.0,58.0,5.26,IN,1594778783.0
dunedin,-45.87,170.5,48.99,79.0,60.0,4.32,NZ,1594778783.0
pevek,69.7,170.31,40.42,80.0,6.0,4.85,RU,1594778348.0
mana,5.66,-53.78,77.59,85.0,29.0,6.98,GF,1594778783.0
acapulco,16.86,-99.89,86.0,74.0,40.0,5.82,MX,1594778572.0
dongsheng,39.82,109.98,79.3,40.0,0.0,6.15,CN,1594778784.0
bow island,49.87,-111.37,73.4,31.0,40.0,11.41,CA,1594778784.0
mandalgarh,25.2,75.1,87.67,62.0,11.0,3.56,IN,1594778784.0
dingle,11.0,122.67,86.76,68.0,11.0,5.73,PH,1594778419.0
sinnamary,5.38,-52.95,78.37,83.0,63.0,7.61,GF,1594778784.0
port elizabeth,-33.92,25.57,48.2,76.0,85.0,10.29,ZA,1594778434.0
alegrete,-29.78,-55.79,38.95,73.0,0.0,5.5,BR,1594778784.0
beloha,-25.17,45.05,60.39,95.0,2.0,5.26,MG,1594778422.0
hirado,33.36,129.55,75.99,88.0,75.0,3.36,JP,1594778575.0
barentu,15.11,37.59,74.01,75.0,15.0,7.99,ER,1594778785.0
nanakuli,21.39,-158.15,87.8,48.0,75.0,9.17,US,1594778785.0
nanae,41.88,140.68,68.0,72.0,75.0,16.11,JP,1594778785.0
victoria,22.29,114.16,90.0,66.0,16.0,11.01,HK,1594778364.0
omsukchan,62.53,155.8,58.03,84.0,100.0,6.02,RU,1594778785.0
praia da vitoria,38.73,-27.07,68.0,88.0,40.0,7.45,PT,1594778360.0
port augusta,-32.5,137.77,57.2,58.0,0.0,9.17,AU,1594778785.0
brus,43.38,21.03,59.0,93.0,0.0,2.28,RS,1594778786.0
mar del plata,-38.0,-57.56,42.01,65.0,1.0,4.7,AR,1594778361.0
kenai,60.55,-151.26,71.6,52.0,1.0,10.29,US,1594778398.0
hasaki,35.73,140.83,72.0,94.0,75.0,6.93,JP,1594778361.0
kodiak,57.79,-152.41,73.4,35.0,1.0,9.17,US,1594778376.0
maniitsoq,65.42,-52.9,44.83,78.0,54.0,9.28,GL,1594778416.0
cap malheureux,-19.98,57.61,71.01,84.0,3.0,5.99,MU,1594778414.0
souillac,-20.52,57.52,71.6,83.0,40.0,12.75,MU,1594778344.0
yarim,14.3,44.38,62.2,59.0,92.0,0.76,YE,1594778787.0
murgab,37.5,61.97,78.8,29.0,20.0,4.7,TM,1594778787.0
walvis bay,-22.96,14.51,57.2,58.0,0.0,5.82,NA,1594778423.0
belmonte,-15.86,-38.88,71.6,88.0,40.0,4.7,BR,1594778787.0
cotonou,6.37,2.42,75.81,83.0,99.0,14.43,BJ,1594778491.0
constitucion,-35.33,-72.42,53.35,72.0,0.0,4.65,CL,1594778381.0
vredendal,-31.67,18.5,44.44,71.0,0.0,4.29,ZA,1594778787.0
bonavista,48.65,-53.11,50.0,81.0,100.0,1.99,CA,1594778787.0
palu,-0.89,119.87,77.97,80.0,100.0,1.97,ID,1594778788.0
kloulklubed,7.04,134.26,86.0,74.0,75.0,8.05,PW,1594778431.0
padang,-0.95,100.35,84.07,59.0,21.0,1.23,ID,1594778412.0
naliya,23.27,68.83,83.64,78.0,100.0,8.48,IN,1594778788.0
tuatapere,-46.13,167.68,48.65,69.0,1.0,5.99,NZ,1594778394.0
narsaq,60.92,-46.05,48.2,81.0,100.0,4.7,GL,1594778338.0
van buren,35.44,-94.35,91.4,49.0,1.0,5.82,US,1594778788.0
caravelas,-17.71,-39.25,70.68,93.0,0.0,4.59,BR,1594778788.0
taonan,45.33,122.78,90.46,38.0,0.0,2.01,CN,1594778788.0
yuanping,38.72,112.76,78.13,60.0,96.0,4.99,CN,1594778789.0
ahipara,-35.17,173.17,60.75,95.0,100.0,13.38,NZ,1594778431.0
qaqortoq,60.72,-46.03,48.2,81.0,100.0,4.7,GL,1594778390.0
bergerac,44.83,0.5,64.4,88.0,90.0,8.05,FR,1594778789.0
shasta lake,40.68,-122.37,100.0,19.0,0.0,4.0,US,1594778789.0
yichun,47.7,128.9,86.86,49.0,0.0,1.81,CN,1594778789.0
macau,22.2,113.55,89.6,66.0,20.0,10.29,MO,1594778789.0
ust-kuyga,70.02,135.6,62.37,43.0,24.0,14.47,RU,1594778379.0
anchorage,61.22,-149.9,73.4,38.0,20.0,5.82,US,1594778590.0
trindade,-16.65,-49.49,68.0,68.0,1.0,5.32,BR,1594778790.0
cherskiy,68.75,161.3,48.16,58.0,0.0,18.9,RU,1594778422.0
along,28.17,94.77,79.65,81.0,78.0,1.25,IN,1594778790.0
asau,46.43,26.4,48.99,86.0,28.0,3.42,RO,1594778390.0
bhuj,23.27,69.67,82.51,80.0,76.0,11.48,IN,1594778790.0
turinsk,58.05,63.7,73.78,75.0,0.0,6.73,RU,1594778790.0
saint anthony,45.02,-93.22,72.0,60.0,1.0,5.82,US,1594778375.0
carnarvon,-24.87,113.63,64.4,72.0,75.0,10.29,AU,1594778335.0
sidhpura,27.63,78.88,89.42,61.0,0.0,10.94,IN,1594778790.0
tromso,69.65,18.96,50.0,81.0,39.0,18.34,NO,1594778790.0
port shepstone,-30.74,30.45,54.63,53.0,3.0,22.41,ZA,1594778791.0
kalach-na-donu,48.69,43.53,66.2,72.0,7.0,6.71,RU,1594778791.0
coahuayana,18.73,-103.68,80.2,84.0,9.0,3.13,MX,1594778791.0
jacareacanga,-6.22,-57.75,74.53,54.0,8.0,1.68,BR,1594778791.0
tupancireta,-29.08,-53.84,36.07,80.0,0.0,6.06,BR,1594778791.0
plymouth,41.83,-70.83,66.99,88.0,90.0,12.75,US,1594778791.0
verkhoyansk,67.54,133.38,70.81,44.0,31.0,8.84,RU,1594778791.0
alexandria,31.22,29.96,77.0,73.0,40.0,9.17,EG,1594778792.0
sisimiut,66.94,-53.67,46.42,77.0,0.0,3.8,GL,1594778792.0
kysyl-syr,63.9,122.76,83.66,39.0,4.0,1.52,RU,1594778792.0
naze,28.37,129.48,87.8,79.0,75.0,14.99,JP,1594778424.0
cortez,37.35,-108.59,87.8,18.0,1.0,9.17,US,1594778792.0
fukue,32.69,128.84,71.6,88.0,75.0,5.82,JP,1594778792.0
chake chake,-5.25,39.77,74.62,82.0,100.0,9.62,TZ,1594778792.0
saint-francois,46.42,3.91,57.99,71.0,100.0,3.36,FR,1594778380.0
turayf,31.67,38.66,77.0,44.0,0.0,9.17,SA,1594778792.0
pacific grove,36.62,-121.92,66.0,68.0,1.0,9.17,US,1594778792.0
cervo,43.67,-7.41,57.99,91.0,100.0,7.0,ES,1594778793.0
pajan,-1.57,-80.42,71.22,81.0,54.0,5.14,EC,1594778793.0
aklavik,68.22,-135.01,66.2,59.0,75.0,9.17,CA,1594778396.0
indianola,41.36,-93.56,82.4,78.0,90.0,9.17,US,1594778503.0
kununurra,-15.77,128.73,73.4,19.0,16.0,11.41,AU,1594778793.0
soe,-9.86,124.28,73.51,61.0,3.0,8.37,ID,1594778793.0
bengkulu,-3.8,102.27,80.85,65.0,95.0,2.33,ID,1594778125.0
aquiraz,-3.9,-38.39,77.0,78.0,1.0,4.7,BR,1594778793.0
barranca,-10.75,-77.77,60.82,88.0,96.0,6.55,PE,1594778568.0
north myrtle beach,33.82,-78.68,82.0,83.0,1.0,6.15,US,1594778794.0
moerai,-22.43,-151.33,70.92,72.0,90.0,11.25,PF,1594778794.0
san patricio,19.22,-104.7,86.0,74.0,75.0,17.22,MX,1594778393.0
zhuhai,22.28,113.57,93.0,66.0,20.0,10.29,CN,1594778558.0
darnah,32.77,22.64,75.09,74.0,0.0,13.62,LY,1594778387.0
novyy urengoy,66.08,76.63,55.71,61.0,100.0,6.04,RU,1594778794.0
cabo san lucas,22.89,-109.91,93.0,66.0,20.0,14.99,MX,1594778377.0
johi,26.69,67.61,93.33,54.0,0.0,8.48,PK,1594778794.0
jinxiang,22.86,115.7,88.84,69.0,29.0,11.99,CN,1594778794.0
rakaia,-43.75,172.02,46.0,38.0,100.0,6.17,NZ,1594778795.0
oranjemund,-28.55,16.43,52.43,51.0,0.0,8.5,NA,1594778394.0
tilichiki,60.47,166.1,52.18,90.0,99.0,6.8,RU,1594778795.0
lompoc,34.64,-120.46,64.99,72.0,1.0,14.99,US,1594778157.0
nieuw amsterdam,5.88,-55.08,79.0,93.0,0.0,5.37,SR,1594778795.0
the valley,18.22,-63.06,84.2,70.0,20.0,11.41,AI,1594778445.0
pangnirtung,66.15,-65.71,55.51,57.0,40.0,8.3,CA,1594778375.0
eureka,40.8,-124.16,64.0,21.0,2.0,1.01,US,1594778428.0
port-gentil,-0.72,8.78,73.24,84.0,100.0,12.8,GA,1594778795.0
waipawa,-41.41,175.52,50.0,70.0,100.0,1.99,NZ,1594778796.0
kashi,39.45,75.98,66.2,63.0,20.0,2.24,CN,1594778796.0
inirida,3.87,-67.92,74.19,95.0,100.0,1.86,CO,1594778796.0
valparaiso,-33.04,-71.63,53.6,81.0,0.0,3.36,CL,1594778796.0
zhanaozen,43.3,52.8,82.0,25.0,51.0,8.88,KZ,1594778450.0
novoagansk,61.94,76.66,61.2,64.0,77.0,7.96,RU,1594778796.0
lorengau,-2.02,147.27,85.26,68.0,50.0,7.18,PG,1594778397.0
sept-iles,50.2,-66.38,55.99,87.0,20.0,2.24,CA,1594778259.0
faridabad,28.43,77.32,86.0,79.0,40.0,9.17,IN,1594778796.0
tehachapi,35.13,-118.45,84.99,11.0,1.0,18.34,US,1594778606.0
hami,42.8,93.45,85.35,16.0,0.0,2.42,CN,1594778797.0
carauari,-4.88,-66.9,75.04,77.0,1.0,1.81,BR,1594778797.0
porto novo,6.5,2.6,75.2,82.0,100.0,10.13,BJ,1594778402.0
buraydah,26.33,43.98,89.6,24.0,0.0,3.36,SA,1594778384.0
muravlenko,63.79,74.52,54.18,81.0,100.0,9.1,RU,1594778797.0
miri,4.41,114.01,80.6,88.0,40.0,9.17,MY,1594778797.0
manggar,-2.88,108.27,77.59,86.0,100.0,5.84,ID,1594778355.0
barcelos,41.54,-8.62,73.0,68.0,0.0,6.93,PT,1594778797.0
nanortalik,60.14,-45.24,41.04,95.0,100.0,1.7,GL,1594778447.0
srednekolymsk,67.45,153.68,51.94,48.0,44.0,14.03,RU,1594778797.0
dalbandin,28.89,64.41,84.61,36.0,0.0,6.6,PK,1594778798.0
lata,40.16,-8.33,64.99,79.0,0.0,3.85,PT,1594778416.0
barra,-11.09,-43.14,75.27,54.0,32.0,5.88,BR,1594778798.0
chapais,49.78,-74.85,69.8,52.0,1.0,6.93,CA,1594778298.0
bassila,9.01,1.67,69.76,98.0,100.0,4.07,BJ,1594778798.0
saint-philippe,-21.36,55.77,68.0,72.0,18.0,8.05,RE,1594778378.0
kavieng,-2.57,150.8,85.1,62.0,100.0,5.79,PG,1594778376.0
comodoro rivadavia,-45.87,-67.5,33.8,80.0,36.0,3.36,AR,1594778746.0
mirzapur,25.15,82.58,80.6,83.0,40.0,4.7,IN,1594778798.0
ribeira grande,38.52,-28.7,69.31,80.0,0.0,6.85,PT,1594778397.0
preobrazheniye,42.9,133.91,68.34,67.0,0.0,11.01,RU,1594778799.0
sompeta,18.93,84.6,82.45,78.0,100.0,5.68,IN,1594778799.0
port hedland,-20.32,118.57,75.2,22.0,75.0,12.75,AU,1594778442.0
shimoda,34.67,138.95,78.8,78.0,75.0,10.29,JP,1594778394.0
morgan city,29.7,-91.21,86.0,79.0,1.0,6.93,US,1594778173.0
erzurum,40.0,41.5,53.6,76.0,0.0,4.7,TR,1594778799.0
tasiilaq,65.61,-37.64,42.8,81.0,45.0,2.24,GL,1594778386.0
leirvik,59.78,5.5,55.0,94.0,0.0,1.95,NO,1594778799.0
diego de almagro,-26.37,-70.05,48.97,62.0,0.0,2.3,CL,1594778800.0
pisco,-13.7,-76.22,61.0,93.0,2.0,9.17,PE,1594778382.0
songea,-10.68,35.65,52.54,75.0,100.0,1.39,TZ,1594778800.0
brainerd,46.36,-94.2,71.6,56.0,1.0,4.7,US,1594778800.0
neryungri,56.67,124.65,82.94,43.0,1.0,3.83,RU,1594778800.0
bethel,41.37,-73.41,69.8,83.0,20.0,3.36,US,1594778082.0
orcopampa,-15.27,-72.34,46.89,48.0,43.0,3.09,PE,1594778800.0
kruisfontein,-34.0,24.73,41.29,81.0,0.0,7.29,ZA,1594778384.0
hachinohe,40.5,141.5,62.6,93.0,75.0,13.87,JP,1594778801.0
sabirabad,40.01,48.48,71.6,83.0,75.0,4.7,AZ,1594778801.0
santa isabel do rio negro,-0.41,-65.02,73.44,91.0,0.0,1.01,BR,1594778801.0
swellendam,-34.02,20.44,44.6,81.0,0.0,5.82,ZA,1594778801.0
sicuani,-14.27,-71.23,47.52,52.0,2.0,3.69,PE,1594778801.0
arraial do cabo,-22.97,-42.03,71.6,78.0,75.0,9.17,BR,1594778150.0
suntar,62.14,117.63,82.18,52.0,23.0,1.74,RU,1594778801.0
weligama,5.97,80.42,81.36,85.0,68.0,9.31,LK,1594778801.0
ljungby,56.83,13.94,59.0,87.0,100.0,6.93,SE,1594778801.0
shelburne,44.08,-80.2,69.8,77.0,1.0,3.51,CA,1594778253.0
fairbanks,64.84,-147.72,71.6,40.0,40.0,5.32,US,1594778230.0
cacu,-18.56,-51.13,72.73,48.0,6.0,2.91,BR,1594778802.0
valdosta,30.83,-83.28,82.4,74.0,1.0,3.36,US,1594778802.0
qui nhon,13.77,109.23,83.46,73.0,44.0,7.74,VN,1594778802.0
bekovo,52.47,43.71,62.94,94.0,100.0,8.97,RU,1594778802.0
ust-tarka,55.57,75.7,64.51,78.0,0.0,6.04,RU,1594778802.0
luena,-11.78,19.92,49.19,47.0,0.0,6.15,AO,1594778445.0
geraldton,-28.77,114.6,59.0,82.0,90.0,14.99,AU,1594778445.0
manado,1.49,124.85,87.8,62.0,20.0,2.24,ID,1594778792.0
bay roberts,47.6,-53.26,52.0,1.0,100.0,13.04,CA,1594778445.0
axim,4.87,-2.24,73.85,85.0,29.0,9.31,GH,1594778803.0
salalah,17.02,54.09,80.6,94.0,90.0,5.82,OM,1594778391.0
banda aceh,5.56,95.32,83.08,72.0,100.0,2.51,ID,1594778803.0
chernyshevskiy,63.01,112.47,72.99,54.0,100.0,4.21,RU,1594778803.0
wanning,18.8,110.4,88.0,67.0,5.0,10.13,CN,1594778352.0
nome,64.5,-165.41,51.8,87.0,90.0,9.17,US,1594778803.0
richards bay,-28.78,32.04,55.53,50.0,1.0,15.86,ZA,1594778423.0
teguldet,57.31,88.17,60.06,57.0,0.0,7.52,RU,1594778409.0
ilulissat,69.22,-51.1,44.6,81.0,1.0,5.82,GL,1594778342.0
gohpur,26.88,93.63,80.19,82.0,99.0,1.23,IN,1594778804.0
buckeye,33.37,-112.58,109.4,19.0,1.0,8.05,US,1594778804.0
sudak,44.85,34.97,64.49,57.0,0.0,4.94,UA,1594778804.0
soma,39.19,27.61,68.0,72.0,7.0,6.93,TR,1594778804.0
porecatu,-22.76,-51.38,71.6,64.0,0.0,5.82,BR,1594778804.0
moree,-29.47,149.85,53.6,71.0,0.0,6.93,AU,1594778804.0
namibe,-15.2,12.15,61.29,85.0,0.0,1.77,AO,1594778449.0
igarka,67.47,86.58,49.89,79.0,100.0,12.44,RU,1594778805.0
ponta do sol,32.67,-17.1,73.0,40.0,0.0,5.86,PT,1594778382.0
taunggyi,20.78,97.03,68.92,93.0,67.0,3.42,MM,1594778805.0
adrar,20.5,-10.07,94.32,21.0,27.0,6.04,MR,1594778805.0
clarksdale,34.2,-90.57,84.2,83.0,98.0,3.91,US,1594778605.0
bouna,9.27,-3.0,71.31,89.0,100.0,6.53,CI,1594778805.0
high level,58.52,-117.14,73.4,27.0,20.0,16.11,CA,1594778805.0
bani walid,31.76,13.99,68.16,87.0,0.0,2.46,LY,1594778805.0
moron,-34.65,-58.62,46.99,59.0,0.0,3.2,AR,1594778428.0
fort nelson,58.81,-122.7,75.2,29.0,75.0,4.7,CA,1594778806.0
damavand,35.72,52.06,75.2,50.0,75.0,6.93,IR,1594778806.0
isangel,-19.55,169.27,78.8,78.0,75.0,4.7,VU,1594778450.0
bloemhof,-27.65,25.61,28.72,89.0,0.0,9.19,ZA,1594778806.0
innisfail,-17.53,146.03,69.53,60.0,89.0,8.16,AU,1594778806.0
sao joao del rei,-21.14,-44.26,58.75,95.0,8.0,4.9,BR,1594778806.0
sakaiminato,35.55,133.23,69.8,88.0,75.0,5.82,JP,1594778450.0
totness,5.88,-56.32,77.67,85.0,5.0,6.04,SR,1594778806.0
kismayo,-0.36,42.55,77.09,77.0,76.0,15.97,SO,1594778806.0
garwolin,51.9,21.61,59.0,97.0,0.0,3.74,PL,1594778807.0
saldanha,-33.01,17.94,41.0,86.0,0.0,1.12,ZA,1594778337.0
hualmay,-11.1,-77.61,61.12,85.0,48.0,7.92,PE,1594778807.0
ankazoabo,-22.28,44.52,57.85,83.0,0.0,7.14,MG,1594778807.0
diffa,13.32,12.61,81.3,60.0,100.0,14.43,NE,1594778807.0
flin flon,54.77,-101.86,60.1,79.0,11.0,7.65,CA,1594778807.0
tateyama,34.98,139.87,78.8,78.0,75.0,10.29,JP,1594778807.0
skjervoy,70.03,20.97,54.34,70.0,0.0,13.56,NO,1594778808.0
oakdale,44.96,-92.96,71.6,64.0,1.0,5.82,US,1594778808.0
yar-sale,66.83,70.83,53.78,81.0,100.0,6.67,RU,1594778808.0
roseburg,43.22,-123.34,87.8,14.0,1.0,17.22,US,1594778808.0
kitwe,-12.8,28.25,51.31,51.0,0.0,3.67,ZM,1594778808.0
banepa,27.63,85.52,71.6,94.0,75.0,1.1,NP,1594778808.0
karad,17.28,74.2,70.95,93.0,100.0,10.22,IN,1594778808.0
roald,62.58,6.13,52.0,93.0,0.0,2.24,NO,1594778437.0
palembang,-2.92,104.75,78.8,88.0,75.0,3.36,ID,1594778808.0
ylivieska,64.08,24.55,54.0,96.0,23.0,2.51,FI,1594778809.0
mandalgovi,45.76,106.27,80.53,18.0,51.0,12.93,MN,1594778442.0
paragominas,-2.97,-47.48,72.63,85.0,2.0,3.24,BR,1594778809.0
yarada,17.65,83.27,78.8,94.0,75.0,4.7,IN,1594778809.0
rocha,-34.48,-54.33,36.03,80.0,0.0,6.53,UY,1594778397.0
araouane,18.9,-3.53,89.4,37.0,85.0,12.57,ML,1594778809.0
